message;severity;node;stamp;topics;location
"ODOM PUBLISH";"2";"/base_node";"1751108158.770104184";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.720287506";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.669105662";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.618924045";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.568107640";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.518013504";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.467410633";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.417728991";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.366191651";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.321542830";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"Reset succes!!!";"2";"/LineDetect";"1751108158.299840927";"/JoyState,/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/PWMServo,/TargetAngle,/cmd_vel,/rosout,/usb_cam/image_raw/compressed";"follow_line.py:LineDetect.Reset:175"
"P:[0.04, 0], I:[0.0, 0], D:[0.012, 0]";"2";"/LineDetect";"1751108158.290498018";"/JoyState,/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/PWMServo,/TargetAngle,/cmd_vel,/rosout,/usb_cam/image_raw/compressed";"follow_common.py:simplePID.__init__:342"
"Stopping line following process...";"2";"/linefollow_controller";"1751108158.278532981";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.stop_linefollow:260"
"Line following already running, stopping first...";"4";"/linefollow_controller";"1751108158.276851892";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.start_linefollow:114"
"Processing START command...";"2";"/linefollow_controller";"1751108158.273763895";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.follow_cmd_callback:67"
"Full command data: {'cmd': 'start', 'max_speed': 0.3, 'img_flip': False, 'VideoSwitch': False, 'hsv_params': {'hmin': 55, 'smin': 79, 'vmin': 96, 'hmax': 125, 'smax': 253, 'vmax': 255}}";"2";"/gui_controller";"1751108158.272005081";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.linefollow_task:366"
